accuracy_per_full_test,PPV_per_full_test,NPV_per_full_test,accuracy_per_simple_test,PPV_per_simple_test,NPV_per_simple_test,total_simple_test,avg_simple_test_per_full_test,positive_simple,negative_simple,TP_simple,TN_simple,PT_span,PT_max_span,CF_span,PT_angle,CF_angle,drop_out_span
0.65,0.684210526315789,0,0.393939393939394,0.684210526315789,0,33,1.65,19,14,13,0,0.5,3.5,1.5,0.2,-0.4,0
0.85,0.894736842105263,0,0.515151515151515,0.894736842105263,0,33,1.65,19,14,17,0,0.5,3.5,1.5,0.2,-0.35,0
0.9,0.947368421052632,0,0.545454545454545,0.947368421052632,0,33,1.65,19,14,18,0,0.5,3.5,1.5,0.2,-0.3,0
0.95,1,0,0.575757575757576,1,0,33,1.65,19,14,19,0,0.5,3.5,1.5,0.2,-0.25,0
0.95,1,0,0.575757575757576,1,0,33,1.65,19,14,19,0,0.5,3.5,1.5,0.2,-0.2,0
0.95,1,0,0.575757575757576,1,0,33,1.65,19,14,19,0,0.5,3.5,1.5,0.2,-0.15,0
0.95,1,0,0.575757575757576,1,0,33,1.65,19,14,19,0,0.5,3.5,1.5,0.2,-0.1,0
0.95,1,0,0.575757575757576,1,0,33,1.65,19,14,19,0,0.5,3.5,1.5,0.2,-0.05,0
0.4,0.368421052631579,1,0.264705882352941,0.368421052631579,0.133333333333333,34,1.7,19,15,7,2,0.5,3.5,1.5,0.25,-0.45,0
0.65,0.684210526315789,0,0.382352941176471,0.684210526315789,0,34,1.7,19,15,13,0,0.5,3.5,1.5,0.25,-0.4,0
0.85,0.894736842105263,0,0.5,0.894736842105263,0,34,1.7,19,15,17,0,0.5,3.5,1.5,0.25,-0.35,0
0.9,0.947368421052632,0,0.529411764705882,0.947368421052632,0,34,1.7,19,15,18,0,0.5,3.5,1.5,0.25,-0.3,0
0.95,1,0,0.558823529411765,1,0,34,1.7,19,15,19,0,0.5,3.5,1.5,0.25,-0.25,0
0.95,1,0,0.558823529411765,1,0,34,1.7,19,15,19,0,0.5,3.5,1.5,0.25,-0.2,0
0.95,1,0,0.558823529411765,1,0,34,1.7,19,15,19,0,0.5,3.5,1.5,0.25,-0.15,0
0.95,1,0,0.558823529411765,1,0,34,1.7,19,15,19,0,0.5,3.5,1.5,0.25,-0.1,0
0.95,1,0,0.558823529411765,1,0,34,1.7,19,15,19,0,0.5,3.5,1.5,0.25,-0.05,0
0.45,0.388888888888889,1,0.277777777777778,0.388888888888889,0.166666666666667,36,1.8,18,18,7,3,0.5,3.5,1.5,0.3,-0.45,0
0.7,0.722222222222222,0.5,0.388888888888889,0.722222222222222,0.0555555555555556,36,1.8,18,18,13,1,0.5,3.5,1.5,0.3,-0.4,0
0.9,0.944444444444444,0.5,0.5,0.944444444444444,0.0555555555555556,36,1.8,18,18,17,1,0.5,3.5,1.5,0.3,-0.35,0
